 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  23. 4.    Time:  14:22:42
 Units: L = cm   , T = days , M = 5    


 Time:        0.0010


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

  92  -182.0000    -100.000 0.3167   0.1610E-02  0.6048E-03 -0.1610E-02  0.0000E+00      -1  -0.222E-01   20.00  0.0000E+00  0.0000E+00
  93  -184.0000    -100.000 0.3167   0.1610E-02  0.6048E-03 -0.1610E-02  0.0000E+00      -1  -0.222E-01   20.00  0.0000E+00  0.0000E+00
  94  -186.0000    -100.000 0.3167   0.1610E-02  0.6048E-03 -0.1610E-02  0.0000E+00      -1  -0.222E-01   20.00  0.0000E+00  0.0000E+00
  95  -188.0000    -100.000 0.3167   0.1610E-02  0.6048E-03 -0.1610E-02  0.0000E+00      -1  -0.222E-01   20.00  0.0000E+00  0.0000E+00
  96  -190.0000    -100.000 0.3167   0.1610E-02  0.6048E-03 -0.1610E-02  0.0000E+00      -1  -0.222E-01   20.00  0.0000E+00  0.0000E+00
  97  -192.0000    -100.000 0.3167   0.1610E-02  0.6048E-03 -0.1610E-02  0.0000E+00      -1  -0.222E-01   20.00  0.0000E+00  0.0000E+00
  98  -194.0000    -100.000 0.3167   0.1610E-02  0.6048E-03 -0.1610E-02  0.0000E+00      -1  -0.222E-01   20.00  0.0000E+00  0.0000E+00
  99  -196.0000    -100.000 0.3167   0.1610E-02  0.6048E-03 -0.1610E-02  0.0000E+00      -1  -0.222E-01   20.00  0.0000E+00  0.0000E+00
 100  -198.0000    -100.000 0.3167   0.1610E-02  0.6048E-03 -0.1610E-02  0.0000E+00      -1  -0.222E-01   20.00  0.0000E+00  0.0000E+00
 101  -200.0000    -100.000 0.3167   0.1610E-02  0.6048E-03 -0.1610E-02  0.0000E+00      -1  -0.222E-01   20.00  0.0000E+00  0.0000E+00
end


 Time:     3652.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000       0.000 0.3925   0.7264E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.0000E+00  0.0000E+00
   2    -2.0000       0.169 0.3925   0.7264E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.2763E-05  0.0000E+00
   3    -4.0000       0.338 0.3925   0.7264E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.5958E-05  0.0000E+00
   4    -6.0000       0.561 0.3934   0.7699E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.9593E-05  0.0000E+00
   5    -8.0000       0.834 0.3934   0.7699E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.1368E-04  0.0000E+00
   6   -10.0000       1.107 0.3934   0.7699E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.1821E-04  0.0000E+00
   7   -12.0000       1.379 0.3934   0.7699E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.2317E-04  0.0000E+00
   8   -14.0000       1.652 0.3934   0.7699E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.2854E-04  0.0000E+00
   9   -16.0000       1.845 0.3926   0.7013E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.3430E-04  0.0000E+00
  10   -18.0000       1.948 0.3926   0.7013E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.4055E-04  0.0000E+00
  11   -20.0000       2.052 0.3926   0.7013E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.4728E-04  0.0000E+00
  12   -22.0000       2.156 0.3926   0.7013E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.5448E-04  0.0000E+00
  13   -24.0000       2.260 0.3926   0.7013E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.6213E-04  0.0000E+00
  14   -26.0000       2.364 0.3926   0.7013E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.7019E-04  0.0000E+00
  15   -28.0000       2.468 0.3926   0.7013E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.7862E-04  0.0000E+00
  16   -30.0000       2.571 0.3926   0.7013E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.8736E-04  0.0000E+00
  17   -32.0000       2.626 0.3921   0.6656E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.9635E-04  0.0000E+00
  18   -34.0000       2.628 0.3921   0.6656E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.1059E-03  0.0000E+00
  19   -36.0000       2.630 0.3921   0.6656E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.1159E-03  0.0000E+00
  20   -38.0000       2.632 0.3921   0.6656E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.1265E-03  0.0000E+00
  21   -40.0000       2.634 0.3921   0.6656E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.1376E-03  0.0000E+00
  22   -42.0000       2.636 0.3921   0.6656E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.1492E-03  0.0000E+00
  23   -44.0000       2.638 0.3921   0.6656E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.1613E-03  0.0000E+00
  24   -46.0000       2.640 0.3921   0.6656E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.1738E-03  0.0000E+00
  25   -48.0000       2.642 0.3921   0.6656E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.1868E-03  0.0000E+00
  26   -50.0000       2.644 0.3921   0.6656E-01  0.0000E+00 -0.6649E-01  0.0000E+00      -1  -0.915E+00   20.00  0.2000E-03  0.0000E+00
  27   -52.0000       2.646 0.3921   0.6656E-01  0.0000E+00 -0.6835E-01  0.0000E+00      -1  -0.941E+00   20.00  0.2136E-03  0.0000E+00
  28   -54.0000       2.536 0.3921   0.6656E-01  0.0000E+00 -0.7202E-01  0.0000E+00      -1  -0.992E+00   20.00  0.2273E-03  0.0000E+00
  29   -56.0000       2.317 0.3921   0.6656E-01  0.0000E+00 -0.7526E-01  0.0000E+00      -1  -0.104E+01   20.00  0.2412E-03  0.0000E+00
  30   -58.0000       2.013 0.3921   0.6656E-01  0.0000E+00 -0.7776E-01  0.0000E+00      -1  -0.107E+01   20.00  0.2551E-03  0.0000E+00
  31   -60.0000       1.600 0.3921   0.6412E-01  0.2586E-04 -0.7878E-01  0.0000E+00      -1  -0.108E+01   20.00  0.2690E-03  0.0000E+00
  32   -62.0000       1.179 0.3880   0.6597E-01  0.4969E-04 -0.7763E-01  0.0000E+00      -1  -0.107E+01   20.00  0.2829E-03  0.0000E+00
  33   -64.0000       0.853 0.3880   0.6566E-01  0.5351E-04 -0.7516E-01  0.0000E+00      -1  -0.103E+01   20.00  0.2973E-03  0.0000E+00
  34   -66.0000       0.603 0.3880   0.6553E-01  0.5499E-04 -0.7252E-01  0.0000E+00      -1  -0.998E+00   20.00  0.3123E-03  0.0000E+00
  35   -68.0000       0.428 0.3880   0.6548E-01  0.5563E-04 -0.7018E-01  0.0000E+00      -1  -0.966E+00   20.00  0.3278E-03  0.0000E+00
  36   -70.0000       0.302 0.3880   0.6453E-01  0.6723E-04 -0.6812E-01  0.0000E+00      -1  -0.938E+00   20.00  0.3438E-03  0.0000E+00
  37   -72.0000       0.202 0.3880   0.6333E-01  0.8200E-04 -0.6627E-01  0.0000E+00      -1  -0.912E+00   20.00  0.3604E-03  0.0000E+00
